timestamp,accX,accY,accZ
168531008,-0.23,0.58,0.76
168533006,-0.23,0.58,0.76
168534968,-0.23,0.58,0.76
168536968,-0.23,0.58,0.76
168538970,-0.23,0.58,0.76
168540998,-0.23,0.60,0.77
168542978,-0.23,0.60,0.77
168545047,-0.23,0.60,0.77
168546994,-0.23,0.60,0.77
168548959,-0.23,0.60,0.77
168550958,-0.23,0.60,0.77
168552967,-0.23,0.60,0.77
168554959,-0.23,0.60,0.77
168556998,-0.23,0.60,0.77
168559019,-0.23,0.60,0.77
168561026,-0.23,0.57,0.76
168563015,-0.23,0.57,0.76
168565034,-0.23,0.57,0.76
168567009,-0.23,0.57,0.76
168569043,-0.23,0.57,0.76
168571039,-0.24,0.55,0.74
168573021,-0.24,0.55,0.74
168575015,-0.24,0.55,0.74
168577001,-0.24,0.55,0.74
168578971,-0.24,0.55,0.74
168581001,-0.22,0.57,0.76
168582968,-0.22,0.57,0.76
168585042,-0.22,0.57,0.76
168587012,-0.22,0.57,0.76
168588966,-0.22,0.57,0.76
168590996,-0.22,0.57,0.76
168592984,-0.23,0.59,0.77
168595024,-0.23,0.59,0.77
168596967,-0.23,0.59,0.77
168598966,-0.23,0.59,0.77
168601025,-0.23,0.59,0.77
168603014,-0.22,0.55,0.77
168605007,-0.22,0.55,0.77
168607009,-0.22,0.55,0.77
168609028,-0.22,0.55,0.77
168611027,-0.22,0.55,0.77
168613025,-0.23,0.57,0.76
168615033,-0.23,0.57,0.76
168616975,-0.23,0.57,0.76
168619001,-0.23,0.57,0.76
168621051,-0.23,0.57,0.76
168622992,-0.23,0.55,0.76
168624975,-0.23,0.55,0.76
168626970,-0.23,0.55,0.76
168628965,-0.23,0.55,0.76
168630974,-0.23,0.55,0.76
168633014,-0.23,0.55,0.76
168634968,-0.23,0.55,0.76
168636970,-0.23,0.55,0.76
168638958,-0.23,0.55,0.76
168641059,-0.23,0.55,0.76
168643012,-0.23,0.59,0.78
168645009,-0.23,0.59,0.78
168647027,-0.23,0.59,0.78
168649043,-0.23,0.59,0.78
168651020,-0.23,0.59,0.78
168653007,-0.23,0.59,0.80
168654998,-0.23,0.59,0.80
168656992,-0.23,0.59,0.80
168659030,-0.23,0.59,0.80
168661003,-0.23,0.59,0.80
168662974,-0.23,0.59,0.80
168664991,-0.24,0.59,0.79
168666969,-0.24,0.59,0.79
168668965,-0.24,0.59,0.79
168670968,-0.24,0.59,0.79
168673031,-0.24,0.59,0.79
168674985,-0.23,0.54,0.79
168676974,-0.23,0.54,0.79
168678972,-0.23,0.54,0.79
168681052,-0.23,0.54,0.79
168683026,-0.23,0.54,0.79
168685007,-0.23,0.56,0.81
168687009,-0.23,0.56,0.81
168689036,-0.23,0.56,0.81
168691053,-0.23,0.56,0.81
168693014,-0.23,0.56,0.81
168695018,-0.23,0.57,0.81
168697038,-0.23,0.57,0.81
168699018,-0.23,0.57,0.81
168700972,-0.23,0.57,0.81
168703131,-0.23,0.57,0.81
168704990,-0.24,0.56,0.81
168707019,-0.24,0.56,0.81
168708975,-0.24,0.56,0.81
168710975,-0.24,0.56,0.81
168712973,-0.24,0.56,0.81
168714998,-0.23,0.55,0.79
168716971,-0.23,0.55,0.79
168718972,-0.23,0.55,0.79
168721035,-0.23,0.55,0.79
168723016,-0.23,0.55,0.79
168725012,-0.24,0.55,0.77
168727017,-0.24,0.55,0.77
168729016,-0.24,0.55,0.77
168731085,-0.24,0.55,0.77
168733021,-0.24,0.55,0.77
168735013,-0.25,0.55,0.78
168737003,-0.25,0.55,0.78
168738985,-0.25,0.55,0.78
168741080,-0.25,0.55,0.78
168742984,-0.25,0.55,0.78
168744971,-0.25,0.55,0.78
168746981,-0.25,0.55,0.79
168749015,-0.25,0.55,0.79
168750971,-0.25,0.55,0.79
168752975,-0.25,0.55,0.79
168754975,-0.25,0.55,0.79
168756980,-0.24,0.57,0.80
168758976,-0.24,0.57,0.80
168761030,-0.24,0.57,0.80
168763040,-0.24,0.57,0.80
168765047,-0.24,0.57,0.80
168767013,-0.24,0.55,0.81
168769045,-0.24,0.55,0.81
168771037,-0.24,0.55,0.81
168773018,-0.24,0.55,0.81
168775010,-0.24,0.55,0.81
168777012,-0.24,0.53,0.80
168779035,-0.24,0.53,0.80
168781012,-0.24,0.53,0.80
168782975,-0.24,0.53,0.80
168784975,-0.24,0.53,0.80
168787022,-0.25,0.52,0.78
168789003,-0.25,0.52,0.78
168791001,-0.25,0.52,0.78
168792980,-0.25,0.52,0.78
168794986,-0.25,0.52,0.78
168796976,-0.24,0.50,0.81
168798979,-0.24,0.50,0.81
168801027,-0.24,0.50,0.81
168803012,-0.24,0.50,0.81
168805013,-0.24,0.50,0.81
168807013,-0.24,0.49,0.81
168809012,-0.24,0.49,0.81
168811015,-0.24,0.49,0.81
168813022,-0.24,0.49,0.81
168815075,-0.24,0.49,0.81
168817000,-0.24,0.49,0.81
168818976,-0.24,0.48,0.81
168820979,-0.24,0.48,0.81
168822982,-0.24,0.48,0.81
168824993,-0.24,0.48,0.81
168827017,-0.24,0.48,0.81
168828975,-0.24,0.48,0.82
168830969,-0.24,0.48,0.82
168832972,-0.24,0.48,0.82
168834976,-0.24,0.48,0.82
168836978,-0.24,0.48,0.82
168838975,-0.24,0.49,0.82
168841059,-0.24,0.49,0.82
168843013,-0.24,0.49,0.82
168845014,-0.24,0.49,0.82
168847014,-0.24,0.49,0.82
168849011,-0.24,0.51,0.83
168851049,-0.24,0.51,0.83
168853035,-0.24,0.51,0.83
168855015,-0.24,0.51,0.83
